Price,ROM儲存空間,主螢幕尺寸,主相機畫素,主相機光學防手震,主相機UHD 4K錄影,第二主相機畫素,前相機畫素,前相機UHD 4K錄影,NFC,快充功率,無線充電,機身長度,機身寬度,機身厚度,機身重量,防水防塵等級,機身顏色,Brand,第三主相機畫素,RAM記憶體,電池容量,主相機8K錄影,3.5mm耳機孔,記憶卡,RAW檔拍攝,可替換電池,無線反向充電,第四主相機畫素,副螢幕觸控,第二前相機畫素,soc_s,soc_m,resolution_x,resolution_y,OLED,90Hz,120Hz,144Hz,Wifi5G,Wifi6,bt5.0,bt5.1,bt5.2,bt4.2,UFS,cam_back_num,glass,plastic,摺疊螢幕,USB3
6050,128,6.5,16.0,False,True,8.0,8.0,False,True,18.0,False,162.2,75.0,7.9,177.0,False,2,oppo,2.0,8.0,4040,False,True,False,False,False,False,0.0,False,0.0,532,1718,2400,1080,False,False,False,False,True,False,False,True,False,False,False,3,False,False,False,False
6350,128,6.5,48.0,False,False,8.0,16.0,False,True,18.0,False,162.9,74.7,8.4,194.0,False,3,oppo,2.0,6.0,5000,False,True,True,False,False,False,2.0,False,0.0,503,1643,2400,1080,False,True,False,False,True,False,False,True,False,False,False,4,False,False,False,False
4290,128,6.4,48.0,False,False,8.0,16.0,False,False,20.0,False,160.2,73.3,7.9,172.0,False,2,oppo,2.0,8.0,4025,False,True,True,False,False,False,2.0,False,0.0,138,150,2400,1080,True,False,False,False,,,False,False,False,True,False,4,False,False,False,False
21400,256,6.7,48.0,True,True,12.0,32.0,False,True,65.0,False,164.9,74.5,8.0,196.0,True,2,oppo,13.0,12.0,4200,False,False,False,False,False,False,0.0,False,0.0,932,3217,3168,1440,True,False,False,False,True,False,False,True,False,False,False,3,False,False,False,True
28400,512,6.7,48.0,True,True,48.0,32.0,False,True,65.0,False,165.2,74.4,8.8,207.0,True,2,oppo,13.0,12.0,4260,False,False,False,False,False,False,0.0,False,0.0,932,3217,3168,1440,True,False,False,False,True,False,False,True,False,False,False,3,False,False,False,True
25690,256,6.7,50.0,True,True,50.0,32.0,False,True,65.0,True,163.6,74.0,8.26,193.0,True,2,oppo,13.0,12.0,4500,False,False,False,True,False,True,3.0,False,0.0,1058,3045,3216,1440,True,False,True,False,True,False,False,False,True,False,True,4,True,False,False,True
7850,128,6.4,48.0,False,True,8.0,32.0,False,True,50.0,False,159.3,74.0,7.8,183.0,True,3,oppo,2.0,8.0,4020,False,False,False,False,False,False,0.0,False,2.0,594,1823,2400,1080,True,False,False,False,,,False,True,False,False,False,3,False,False,False,False
10699,256,6.5,48.0,True,True,12.0,32.0,False,True,50.0,False,159.9,72.5,7.6,172.0,True,2,oppo,13.0,12.0,4000,False,False,False,False,False,False,0.0,False,0.0,594,1823,2400,1080,True,False,False,False,,,False,True,False,False,False,3,False,False,False,False
6690,128,6.5,48.0,False,True,8.0,16.0,False,True,18.0,False,163.8,75.5,8.1,184.0,False,2,oppo,2.0,8.0,4000,False,True,False,False,False,False,2.0,False,2.0,514,1894,2400,1080,False,False,False,False,True,False,True,False,False,False,False,4,False,False,False,False
9000,128,6.43,64.0,False,True,8.0,32.0,False,True,65.0,False,159.1,73.4,7.9,180.0,False,2,oppo,2.0,8.0,4300,False,True,False,False,False,False,2.0,False,0.0,594,1823,2400,1080,True,True,False,False,True,False,False,True,False,False,True,4,True,False,False,False
14900,256,6.55,64.0,False,True,8.0,32.0,False,True,65.0,False,159.7,73.2,7.6,173.0,False,2,oppo,2.0,12.0,4350,False,False,False,False,False,False,2.0,False,0.0,778,2967,2400,1080,True,True,False,False,True,False,False,True,False,False,True,4,True,False,False,False
7700,128,6.43,48.0,False,True,8.0,16.0,False,True,30.0,False,160.1,73.4,7.8,173.0,False,2,oppo,2.0,8.0,4310,False,True,True,False,False,False,2.0,False,0.0,618,1838,2400,1080,True,False,False,False,True,False,False,True,False,False,False,4,False,False,False,False
11690,128,6.43,64.0,False,True,8.0,32.0,False,True,65.0,False,156.8,72.1,7.59,182.0,False,2,oppo,2.0,8.0,4300,False,False,False,False,False,False,0.0,False,0.0,710,2608,2400,1080,True,True,False,False,True,False,False,False,True,False,True,3,False,False,False,False
17590,256,6.55,50.0,True,True,16.0,32.0,False,True,65.0,False,160.8,72.5,7.99,188.0,False,2,oppo,13.0,12.0,4500,False,False,False,False,False,False,2.0,False,0.0,937,3094,2400,1080,True,True,False,False,True,False,False,False,True,False,True,4,True,False,False,False
8900,128,6.4,64.0,False,True,8.0,32.0,False,False,30.0,False,160.2,73.38,7.97,173.0,False,2,oppp,2.0,8.0,4310,False,True,True,False,False,False,0.0,False,0.0,618,1838,2400,1080,True,False,False,False,True,False,False,True,False,False,False,3,True,False,False,False
2990,64,6.22,13.0,False,False,2.0,8.0,False,False,10.0,False,155.0,73.0,8.15,165.0,False,2,panasonic,0.0,3.0,3500,False,True,True,False,False,False,0.0,False,0.0,145,782,1520,720,False,False,False,False,False,False,False,False,False,True,False,2,False,False,False,False
